id,Event,Site,Date,White,Black,Result,BlackElo,ECO,WhiteElo,White Short Castle,White Long Castle,Black Short Castle,Black Long Castle,Opposite side castling,WhiteWon,BlackWon,Moves,WhiteFinalPiecesCount,BlackFinalPiecesCount,FinalPiecesCount,QueenTrade
58704,Santiago,Santiago,1959,"Ader Hausman, Walter","Stekel Grunberg, Moises",1/2-1/2,,C89,,1,0,1,0,0,0,0,74,1,1,2,0
59742,Asuncion,Asuncion,1960,"Riego Prieto, Victorio","Letelier, Rene",0-1,,C89,,1,0,1,0,0,0,1,32,4,6,10,0
60291,Leipzig olm fin-C,Leipzig,1960,"Gouder, A.","Casa, Alex",0-1,,C89,,1,0,1,0,0,0,1,48,3,5,8,1
61006,Leipzig olm fin-C,Leipzig,1960,"Camilleri, Henry","Kostjoerin, Anatole",1-0,,C89,,1,0,1,0,0,1,0,44,7,6,13,0
61699,Leipzig olm fin-A,Leipzig,1960,"Matanovic, Aleksandar","Padevsky, Nikola",1-0,,C89,,1,0,1,0,0,1,0,43,6,2,8,1
62384,Madrid zt,Madrid,1960,"Pachman, Ludek","Neikirkh, Oleg",1/2-1/2,,C89,,1,0,1,0,0,0,0,37,9,8,17,1
62973,USA-ch,New York,1960,"Fischer, Robert James","Seidman, Herbert",1-0,,C89,,1,0,1,0,0,1,0,36,5,4,9,0
63572,Sao Paulo zt,Sao Paulo,1960,"Recalde, E.","Camara, Ronald",1/2-1/2,,C89,,1,0,1,0,0,0,0,20,11,10,21,0
63978,Belgrade op,Belgrade,1961,"Vasiukov, Evgeni","Karaklajic, Nikola",1-0,,C89,,1,0,1,0,0,1,0,34,8,7,15,1
64547,HUN-ch,Budapest,1961,"Dely, Peter","Pogats, Jozsef",1/2-1/2,,C89,,1,0,1,0,0,0,0,25,10,8,18,0
65010,ARG-ch,Buenos Aires,1961,"Foguelman, Alberto","Garcia, Raimundo",1-0,,C89,,1,0,1,0,0,1,0,59,2,3,5,1
65869,ARG-ch,Buenos Aires,1961,"Rubinstein, Jose","Benko, Francisco",1-0,,C89,,1,0,1,0,0,1,0,46,6,5,11,1
66573,Netanya,Netanya,1961,"Matulovic, Milan","Durao, Joaquim",1-0,,C89,,1,0,1,0,0,1,0,44,3,3,6,1
67249,EU-chT,Oberhausen,1961,"Nedeljkovic, Strecko","Trapl, Jindrich",1/2-1/2,,C89,,1,0,1,0,0,0,0,28,11,9,20,0
67750,ARG-ch,Buenos Aires,1962,"Farah, Rodolfo",Lopez Bahamonde,1-0,,C89,,1,0,1,0,0,1,0,71,4,2,6,1
68746,URS-chT,Leningrad,1962,"Epstein, Esther",Bisarde,0-1,,C89,,1,0,1,0,0,0,1,55,5,5,10,1
69533,URS-chT,Leningrad,1962,"Boleslavsky, Isaak","Tal, Mihail",1/2-1/2,,C89,,1,0,1,0,0,0,0,42,5,4,9,1
70188,Stockholm Interzonal,Stockholm,1962,"Bertok, Mario","Stein, Leonid",1/2-1/2,,C89,,1,0,1,0,0,0,0,22,11,10,21,0
70628,Torremolinos zt,Torremolinos,1962,"Llado Lumbera, Jaime","Toran Albero, Roman",0-1,,C89,,1,0,1,0,0,0,1,26,9,9,18,0
71675,Varna olm,Varna,1962,"Barden, Leonhard William","Ridameya, Jose",1-0,,C89,,1,0,1,0,0,1,0,41,6,5,11,0
72326,Varna olm,Varna,1962,"Belkadi, Ridha","Hoen, Ragnar",1-0,,C89,,1,0,1,0,0,1,0,48,6,6,12,1
73039,Varna olm,Varna,1962,"Farboud, M.","Alvarez del Monte, Jose Luis",1/2-1/2,,C89,,1,0,1,0,0,0,0,41,2,3,5,1
73702,Varna olm,Varna,1962,"Thorvaldsson, Jonas","Ridameya, Jose",0-1,,C89,,1,0,1,0,0,0,1,44,3,5,8,1
74377,BCF-ch,Whitby,1962,"Mardle, Denis Victor","Thomas, Andrew",1-0,,C89,,1,0,1,0,0,1,0,34,6,6,12,1
74949,URS-ch30,Yerevan,1962,"Tal, Mihail","Krogius, Nikolai V",1-0,,C89,,1,0,1,0,0,1,0,37,5,6,11,0
75547,DEN-chT6364,DEN,1963,"Kolvig, Bent","Petersen, Finn",1-0,,C89,,1,0,1,0,0,1,0,21,12,11,23,0
75954,BCF-ch U16,Bath,1963,"Holmes, Richard F","Morris, PR.",1/2-1/2,,C89,,1,0,1,0,0,0,0,47,2,2,4,1
76675,BCF-ch Major Open,Bath,1963,"Evans, GR.","Noorda, SJ.",0-1,,C89,,1,0,1,0,0,0,1,28,7,7,14,0
77166,Hoogovens,Beverwijk,1963,"Robatsch, Karl","O'Kelly de Galway, Alberic",1/2-1/2,,C89,,1,0,1,0,0,0,0,24,12,11,23,0
77635,ARG-ch,Buenos Aires,1963,"Marcussi, Bartolome",Nebreda,1/2-1/2,,C89,,1,0,1,0,0,0,0,73,2,3,5,1
78655,JUG-chJ,Dravograd,1963,"Rujevic, Mirko","Bratko, Ivan",0-1,,C89,,1,0,1,0,0,0,1,30,9,9,18,0
79164,Hastings-B6364,Hastings,1963,"Gaprindashvili, Nona","Phillips, Alan",1/2-1/2,,C89,,1,0,1,0,0,0,0,57,4,4,8,1
80001,URS-ch31,Leningrad,1963,"Novopashin, Arkady","Spassky, Boris V",0-1,,C89,,1,0,1,0,0,0,1,23,10,10,20,0
80437,URS-ch31,Leningrad,1963,"Kholmov, Ratmir D","Nei, Iivo",1-0,,C89,,1,0,1,0,0,1,0,41,7,5,12,1
81073,URS-ch31,Leningrad,1963,"Suetin, Alexey S","Geller, Efim P",1/2-1/2,,C89,,1,0,1,0,0,0,0,87,2,2,4,0
82250,URS Spartakiad,Moscow,1963,"Vasilchuk, Yury","Smirnov, YA.",1/2-1/2,,C89,,1,0,1,0,0,0,0,23,12,11,23,0
82701,URS Spartakiad,Moscow,1963,"Rozenberg, S.","Smirnov, Artiom",0-1,,C89,,1,0,1,0,0,0,1,58,7,6,13,0
83534,URS-chT,Moscow,1963,"Valiev, Neron","Mamatov, Dair",0-1,,C89,,1,0,1,0,0,0,1,57,1,3,4,1
84362,Alekhine mem,Moscow,1963,"Matanovic, Aleksandar","Jimenez Zerquera, Eleazar",1-0,,C89,,1,0,1,0,0,1,0,33,8,5,13,1
84935,Split ol (Women),Split,1963,"Renoy Chevrier, Anne Marie","Nicolau, Alexandra",0-1,,C89,,1,0,1,0,0,0,1,45,2,4,6,1
85647,Hoogovens,Beverwijk,1964,"Zuidema, Coenraad","Nei, Iivo",0-1,,C89,,1,0,1,0,0,0,1,30,9,8,17,0
86157,Bordeaux op,Bordeaux,1964,"Gheorghiu, Florin","Chaude de Silans, Chantal",1-0,,C89,,1,0,1,0,0,1,0,45,7,6,13,0
86857,Budapest-ch,Budapest,1964,"Titkos, Jeno","Dely, Peter",0-1,,C89,,1,0,1,0,0,0,1,31,8,6,14,0
87390,Budapest-ch,Budapest,1964,"Ozsvath, Andras","Sapi, Laszlo",1-0,,C89,,1,0,1,0,0,1,0,43,5,4,9,1
88064,FRG-ch m,Hamburg,1964,"Unzicker, Wolfgang","Pfleger, Helmut",1-0,,C89,,1,0,1,0,0,1,0,40,9,7,16,0
88700,Hastings6465,Hastings,1964,"Lee, Peter N","Mardle, Denis Victor",1/2-1/2,,C89,,1,0,1,0,0,0,0,36,6,6,12,0
89318,Capablanca mem,Havana,1964,"Darga, Klaus","Jimenez Zerquera, Eleazar",1/2-1/2,,C89,,1,0,1,0,0,0,0,42,6,5,11,0
90806,URS-chT,Leningrad,1964,"Tolush, Alexander V","Mukhin, Georgy",1/2-1/2,,C89,,1,0,1,0,0,0,0,30,9,9,18,1
91344,Moscow zt,Moscow,1964,"Stein, Leonid","Spassky, Boris V",1/2-1/2,,C89,,1,0,1,0,0,0,0,32,6,4,10,1
91897,Rubinstein mem,Polanica Zdroj,1964,"Parma, Bruno","Zinn, Lothar",1/2-1/2,,C89,,1,0,1,0,0,0,0,73,3,3,6,1
92918,Tel Aviv olm fin-B,Tel Aviv,1964,"Dueckstein, Andreas","Silva Nazzari, Raul",1-0,,C89,,1,0,1,0,0,1,0,46,6,5,11,1
93637,Tel Aviv olm prel,Tel Aviv,1964,"Gragger, Anton","Carvajal, Juan",1-0,,C89,,1,0,1,0,0,1,0,35,11,6,17,0
94214,Tel Aviv olm prel,Tel Aviv,1964,"Vizantiadis, Lazaros","Ascencios, J.",0-1,,C89,,1,0,1,0,0,0,1,27,10,10,20,0
94702,Tel Aviv olm fin-B,Tel Aviv,1964,"Tchalkhasuren, C.","Pinzon Solis, Felipe",0-1,,C89,,1,0,1,0,0,0,1,40,6,7,13,0
95349,Tel Aviv olm fin-D,Tel Aviv,1964,"Yabra, Freddy","Philippe, Georges",0-1,,C89,,1,0,1,0,0,0,1,28,10,9,19,0
95845,Tel Aviv olm prel,Tel Aviv,1964,"Lantsias, Andreas","Guerrero, M.",0-1,,C89,,1,0,1,0,0,0,1,42,3,5,8,1
96506,Tel Aviv olm fin-D,Tel Aviv,1964,"Schneider, Raymond","Alvarez del Monte, Jose Luis",1-0,,C89,,1,0,1,0,0,1,0,40,7,5,12,0
97179,Tel Aviv olm prel,Tel Aviv,1964,"Boucchechter, A.","Spassky, Boris V",0-1,,C89,,1,0,1,0,0,0,1,30,8,7,15,0
97707,Tel Aviv olm fin-C,Tel Aviv,1964,"Safvat, Y.","Sitiriche, J.",1/2-1/2,,C89,,1,0,1,0,0,0,0,51,3,3,6,1
98481,DDR-ch 15th,Annaberg-Buchholz,1965,"Neukirch, Detlef","Litkiewicz, Kurt",1-0,,C89,,1,0,1,0,0,1,0,39,6,4,10,0
99124,Wch U20 q-5,Barcelona,1965,"Brent, Richard","Simon, Emilio",1/2-1/2,,C89,,1,0,1,0,0,0,0,41,7,3,10,0
99780,Capablanca mem,Havana,1965,"Fischer, Robert James","O'Kelly de Galway, Alberic",1/2-1/2,,C89,,1,0,1,0,0,0,0,54,7,6,13,0
100593,Capablanca mem,Havana,1965,"Fischer, Robert James","Wade, Robert Graham",1/2-1/2,,C89,,1,0,1,0,0,0,0,69,4,4,8,1
101581,Capablanca mem,Havana,1965,"Ciocaltea, Victor","Geller, Efim P",1/2-1/2,,C89,,1,0,1,0,0,0,0,26,9,9,18,0
102072,Capablanca mem,Havana,1965,"Fischer, Robert James","Donner, Jan Hein",1-0,,C89,,1,0,1,0,0,1,0,35,8,8,16,1
102655,Rubinstein mem,Polanica Zdroj,1965,"Filipowicz, Andrzej","Serwinski, Benedykt",1-0,,C89,,1,0,1,0,0,1,0,53,3,2,5,1
103458,Riga-ch,Riga,1965,"Suslov, Serafim","Vitomskis, Y.",1-0,,C89,,1,0,1,0,0,1,0,31,8,7,15,0
103983,Riga-ch,Riga,1965,"Serebriakov, A.","Vitomskis, Y.",0-1,,C89,,1,0,1,0,0,0,1,20,10,10,20,1
104374,Candidats sf2,Riga,1965,"Spassky, Boris V","Geller, Efim P",1-0,,C89,,1,0,1,0,0,1,0,55,6,6,12,1
105176,Santiago,Santiago de Chile,1965,"Pilnick, Carl","Geller, Efim P",0-1,,C89,,1,0,1,0,0,0,1,41,7,5,12,0
105821,Tbilisi,Tbilisi,1965,"Jansa, Vlastimil","Bokuchava, Alexander",1/2-1/2,,C89,,1,0,1,0,0,0,0,48,6,5,11,0
106553,Tbilisi,Tbilisi,1965,"Jansa, Vlastimil","Lilienthal, Andor",1/2-1/2,,C89,,1,0,1,0,0,0,0,31,8,7,15,1
107089,Candidats final,Tbilisi,1965,"Tal, Mihail","Spassky, Boris V",1/2-1/2,,C89,,1,0,1,0,0,0,0,37,5,5,10,1
107706,Candidats final,Tbilisi,1965,"Tal, Mihail","Spassky, Boris V",1/2-1/2,,C89,,1,0,1,0,0,0,0,41,8,7,15,1
108361,Candidats final,Tbilisi,1965,"Tal, Mihail","Spassky, Boris V",1/2-1/2,,C89,,1,0,1,0,0,0,0,53,3,2,5,1
