id,MaxEval,MinEval,FinalEval,W<=10,W<=25,W<=50,W<=100,W<=200,W<=500,W>500,B<=10,B<=25,B<=50,B<=100,B<=200,B<=500,B>500,Wprojection,Bprojection,DifProjection
1477865,97,-40,-6,9,9,5,1,0,0,0,12,8,5,1,0,0,0,1565,-110,1455
1478370,146,-203,5,16,9,7,3,3,0,0,23,12,4,3,2,0,0,2048,-3399,-1351
1479069,820,0,753,17,5,7,4,0,0,0,14,10,6,3,5,0,0,26016,0,26016
1479718,99995,18,99995,12,5,3,0,0,1,0,10,8,3,3,1,2,1,19252,0,19252
1480253,91,-58,0,12,9,1,1,0,0,0,12,7,4,2,0,0,0,1851,-126,1725
1480759,96,-7,46,9,4,0,1,1,0,0,11,6,0,1,0,0,0,1588,-7,1581
1481163,100000,-150,100000,16,3,2,1,1,2,0,14,2,3,3,2,5,1,20351,-150,20201
1481720,76,-216,-69,9,6,3,2,3,0,0,15,5,1,1,2,1,0,1119,-2023,-904
1482222,99994,-711,99994,21,8,0,4,2,5,0,26,9,6,5,9,2,2,46437,-2459,43978
1483101,1213,-10,1213,14,9,6,1,1,0,0,18,9,7,9,2,0,0,36108,-16,36092
1483830,1009,-47,1009,11,4,5,4,4,1,0,15,5,5,9,5,2,0,26866,-47,26819
1484513,76,3,34,7,5,5,0,0,0,0,16,1,3,1,0,0,0,1672,0,1672
1484954,452,-99999,-99999,10,7,1,0,2,8,2,18,4,3,2,2,5,1,6215,-16789,-10574
1485544,82,-568,-225,8,6,6,3,5,1,0,17,4,7,4,2,1,0,1118,-7969,-6851
1486154,490,14,490,10,6,3,1,0,0,0,12,8,2,2,2,0,0,4792,0,4792
1486656,62,-99998,-99998,15,5,2,3,2,2,2,28,3,2,0,0,0,1,1172,-23261,-22089
1487262,97,-100000,-100000,5,7,3,1,1,4,2,11,9,2,0,2,0,1,1471,-16196,-14725
1487773,904,-114,904,15,5,3,7,1,0,0,20,8,4,5,4,1,0,22425,-398,22027
1488460,99999,-175,99999,13,8,4,7,3,2,1,17,10,7,7,5,2,2,16759,-1351,15408
1489237,106,-100,0,18,6,1,1,1,0,0,26,1,4,2,0,0,0,2045,-370,1675
1489818,100000,-186,100000,29,5,8,9,7,3,1,30,14,14,8,8,2,2,78191,-237,77954
1490914,76,-605,-590,7,4,1,5,1,2,0,15,5,4,2,1,0,0,1383,-4920,-3537
1491425,179,-100,0,57,8,2,2,2,0,0,58,4,6,3,1,0,0,3452,-554,2898
1492467,589,-6,464,9,5,5,2,0,0,0,11,9,4,1,1,1,0,7891,-12,7879
1492977,134,-52,15,17,10,1,1,1,0,0,24,5,2,1,1,0,0,1679,-66,1613
1493571,86,-11,25,10,4,3,1,0,0,0,11,5,3,0,0,0,0,1486,-18,1468
1493998,64,-33,-5,6,5,1,2,0,0,0,8,5,3,0,0,0,0,1184,-38,1146
1494381,710,22,403,14,6,4,5,2,0,0,18,7,5,7,3,0,0,17462,0,17462
1495056,71,0,4,13,3,5,0,0,0,0,21,4,1,0,0,0,0,1674,0,1674
1495552,128,-918,-918,9,6,3,2,1,1,1,15,4,3,3,0,0,0,1869,-5114,-3245
1496047,385,-99995,-99995,9,5,8,3,11,5,2,24,9,2,4,10,1,2,11289,-17487,-6198
1496861,127,-333,0,21,10,10,8,5,1,0,26,13,14,3,6,2,0,3019,-8215,-5196
1497806,133,-661,-632,11,8,7,3,5,0,0,22,7,7,3,2,0,0,1899,-19459,-17560
1498469,84,-112,-112,11,1,4,1,0,0,0,11,8,0,0,0,0,0,1210,-815,395
1498911,64,-1462,-1462,16,5,2,3,7,3,0,24,10,1,4,2,1,0,1172,-19572,-18400
1499597,99996,-667,99996,11,6,7,5,6,2,0,27,6,3,4,6,3,2,39299,-6017,33282
1500377,1784,23,1784,10,8,3,1,1,1,0,9,4,3,4,6,3,0,24131,0,24131
1500922,1037,24,1028,8,6,1,1,0,0,0,8,4,1,2,3,2,0,14941,0,14941
1501355,64,-1410,-1387,14,6,3,9,6,3,0,31,6,2,10,4,1,0,906,-41748,-40842
1502155,75,-44,0,28,1,3,2,0,0,0,25,9,2,1,0,0,0,1483,-120,1363
1502777,81,-3,0,21,4,2,1,0,0,0,24,4,4,0,0,0,0,1562,-3,1559
1503346,73,-142,0,54,14,6,3,1,0,0,71,11,8,4,1,0,0,1509,-4704,-3195
1504622,78,-9,0,22,6,4,0,0,0,0,25,5,3,0,0,0,0,1694,-12,1682
1505217,99999,-278,99999,8,1,3,2,3,1,0,8,3,2,1,2,1,1,3082,-1794,1288
1505639,81,-100000,-100000,14,3,4,5,0,2,1,22,9,6,1,0,0,0,1467,-12651,-11184
1506281,99999,-94,99999,18,11,12,4,1,1,0,22,9,12,10,4,1,1,35066,-658,34408
1507160,146,-347,-212,7,12,3,4,4,0,0,16,9,2,4,2,1,0,1804,-5614,-3810
1507768,67,-20,34,9,0,0,1,0,0,0,8,1,2,0,0,0,0,886,-38,848
1508103,66,-17,0,17,7,1,0,0,0,0,23,4,1,0,0,0,0,1302,-30,1272
1508621,109,-48,0,25,6,3,0,1,0,0,24,8,2,2,0,0,0,1344,-127,1217
1509242,1070,-944,1070,9,9,8,4,5,4,2,20,6,7,8,3,7,2,15598,-28123,-12525
1510055,2523,-7,1274,17,7,5,3,1,3,1,27,5,8,8,3,2,2,46478,-7,46471
1510869,937,-987,-987,6,5,2,2,2,1,1,13,8,0,2,1,3,0,13291,-1926,11365
1511403,113,-99997,-99997,14,4,5,1,3,1,2,20,6,2,2,2,1,0,1503,-13453,-11950
1511992,118,-5,13,9,3,3,0,2,0,0,7,8,1,0,2,0,0,1370,-7,1363
1512390,86,-844,-844,16,7,2,2,0,0,1,24,5,4,1,0,0,0,2141,-1764,377
1512975,100000,-55,100000,12,8,5,6,0,2,1,16,6,7,7,1,2,2,16543,-55,16488
1513648,99998,-112,99998,17,10,9,9,5,6,1,33,12,8,7,8,6,2,49565,-323,49242
1514708,87,-82,-81,8,4,3,2,0,0,0,7,9,1,1,0,0,0,985,-391,594
1515117,112,-99999,-99999,16,7,1,3,2,1,1,22,4,6,1,0,0,0,1646,-6446,-4800
1515687,91,-99995,-99995,10,4,0,0,0,0,2,13,3,1,1,0,0,0,1367,-3222,-1855
1516107,60,-21,0,64,8,5,0,0,0,0,67,8,5,0,0,0,0,2004,-126,1878
1517253,1087,0,799,6,9,4,6,2,2,0,13,6,5,6,5,2,0,18923,0,18923
1517871,854,-20,854,5,9,6,1,1,0,0,8,10,5,3,2,1,0,8075,-23,8052
1518393,160,-12,0,57,9,1,0,1,0,0,64,7,4,0,0,0,0,3759,-62,3697
1519459,75,-493,-325,8,7,7,2,2,3,0,16,7,2,1,1,3,0,944,-8129,-7185
1520020,1921,-87,1921,19,5,12,6,5,1,0,23,12,7,8,5,5,0,22849,-220,22629
1520900,69,-902,-902,4,7,2,5,4,0,0,14,9,2,0,1,0,0,919,-6463,-5544
1521386,162,-53,-53,5,4,5,2,1,0,0,8,4,3,1,1,0,0,1902,-141,1761
1521772,1042,-76,1042,16,8,6,1,3,1,0,21,10,1,7,5,2,0,28555,-157,28398
1522496,70,-1122,-1122,21,6,15,7,3,4,0,31,11,8,5,4,3,0,886,-30640,-29754
1523416,77,-943,0,26,6,9,3,2,0,2,31,15,5,1,0,1,2,1543,-5743,-4200
1524276,111,-330,0,13,4,2,2,0,1,0,15,2,3,2,0,1,0,1565,-1060,505
1524748,721,0,692,22,11,5,6,3,0,0,24,11,12,8,5,0,0,35418,0,35418
1525632,112,12,17,13,8,3,3,0,0,0,15,9,5,2,0,0,0,3574,0,3574
1526188,85,-2,34,9,5,4,0,0,0,0,13,5,4,0,0,0,0,1783,-2,1781
1526636,269,-43,122,13,8,4,5,3,0,0,19,8,4,7,3,0,0,5808,-102,5706
1527322,2970,-625,2970,16,2,1,1,1,2,0,17,4,0,6,1,1,2,17043,-1022,16021
1527887,183,-4,0,20,8,3,0,1,0,0,24,7,6,0,0,0,0,5031,-6,5025
1528532,1663,-33,1371,14,8,0,3,0,2,0,13,5,4,3,2,2,1,10397,-61,10336
1529102,1304,0,1304,22,4,4,3,1,1,0,19,10,6,5,3,2,0,27568,0,27568
1529818,158,-162,-162,11,5,2,2,0,1,0,16,1,3,1,1,0,0,1701,-788,913
1530268,83,-5,0,32,4,1,1,0,0,0,30,9,0,0,0,0,0,2011,-5,2006
1530930,110,-99979,-99979,19,11,6,4,6,6,2,32,6,8,5,5,3,0,954,-48190,-47236
1531827,1787,-164,1787,18,11,5,5,0,0,0,16,14,8,8,3,1,0,24200,-1435,22765
1532602,63,-601,-601,13,6,3,4,2,0,0,27,2,3,0,1,0,0,969,-6524,-5555
